sl	en	de
Afina in projektivna geometrija	Affine and projective geometry	Affine und projektive Geometrie
Algebra 1	Algebra 1	Algebra 1
Algebra 2	Algebra 2	Algebra 2
Algebra 3	Algebra 3	Algebra 3
Algebra in diskretna matematika	Algebra and discrete mathematics	Algebra und diskrete Mathematik
Algebraične krivulje	Algebraic curves	Algebraische Kurven
Analiza 1	Analysis 1	Analysis 1
Analiza 2	Analysis 2	Analysis 2
Analiza 2a	Analysis 2a	Analysis 2a
Analiza 2b	Analysis 2b	Analysis 2b
Analiza 3	Analysis 3	Analysis 3
Analiza 3 s programa Matematika	Analysis 3 (from Mathematics programme)	Analysis 3 (aus dem Studiengang Mathematik)
Analiza 4	Analysis 4	Analysis 4
Analiza podatkov s programom R	Data analysis with program R	Datenanalyse mit R
Astronomija	Astronomy	Astronomie
Denar in finance	Money and finance	Geld und Finanzen
Didaktika 1	Didactics 1	Didaktik 1
Didaktika matematike 1	Didactics of mathematics 1	Didaktik der Mathematik 1
Didaktika matematike 2	Didactics of mathematics 2	Didaktik der Mathematik 2
Diferencialna geometrija	Differential geometry	Differentialgeometrie
Diferencialne enačbe	Differential equations	Differentialgleichungen
Diskretna matematika 1	Discrete mathematics 1	Diskrete Mathematik 1
Diskretna matematika 2	Discrete mathematics 2	Diskrete Mathematik 2
Diskretne strukture	Discrete structures	Diskrete Strukturen
Ekonometrija 1	Econometrics 1	Ökonometrie 1
Elementarna geometrija	Elementary geometry	Elementargeometrie
Elementarna teorija števil	Elementary number theory	Elementare Zahlentheorie
Finančna matematika 1	Financial mathematics 1	Finanzmathematik 1
Finančna matematika 2	Financial mathematics 2	Finanzmathematik 2
Finančni praktikum	Financial lab	Finanzpraktikum
Finančni trgi in inštitucije	Financial markets and institutions	Finanzmärkte und Finanzinstitutionen
Fizika 1	Physics 1	Physik 1
Fizika 2	Physics 2	Physik 2
Fizikalni praktikum	Physics practical	Physikalisches Praktikum
Iterativne numerične metode v linearni algebri	Iterative numerical methods in linear algebra	Iterative numerische Verfahren der linearen Algebra
Izbrana poglavja iz diskretne matematike 1: Končni avtomati	Topics in discrete mathematics 1: Finite automata	Ausgewählte Kapitel der diskreten Mathematik 1: Endliche Automaten
Izbrana poglavja iz optimizacije	Topics in optimization	Ausgewählte Kapitel der Optimierung
Izbrana poglavja iz računalniške matematike: Računalniške metode v teoriji grup	Topics in mathematical foundations of computer science: Computational methods in group theory	Ausgewählte Kapitel der mathematischen Grundlagen der Informatik: Algorithmische Methoden der Gruppentheorie
Izbrana poglavja iz topologije	Topics in topology	Ausgewählte Kapitel der Topologie
Izbrane teme iz analize podatkov	Topics in data analysis	Ausgewählte Themen der Datenanalyse
Komutativna algebra	Commutative algebra	Kommutative Algebra
Linearna algebra	Linear algebra	Lineare Algebra
Logika	Logic	Logik
Logika in množice	Logic and sets	Logik und Mengenlehre
Makroekonomija	Macroeconomics	Makroökonomie
Matematična orodja v fiziki	Mathematical tools in physics	Mathematische Methoden der Physik
Matematično izražanje v angleškem jeziku	Expressing mathematics in English	Mathematisches Englisch
Matematično modeliranje	Mathematical modelling	Mathematische Modellierung
Matematika 1	Mathematics 1	Mathematik 1
Matematika 2	Mathematics 2	Mathematik 2
Matematika v družbi	Mathematics in society	Mathematik in der Gesellschaft
Mehanika	Mechanics	Mechanik
Mehanika 1	Mechanics 1	Mechanik 1
Mikroekonomija	Microeconomics	Mikroökonomie
Moderna fizika	Modern physics	Moderne Physik
Monetarna ekonomija	Monetary economics	Monetäre Ökonomie
Numerična integracija in navadne diferencialne enačbe	Numerical integration and ordinary differential equations	Numerische Integration und gewöhnliche Differentialgleichungen
Numerična linearna algebra	Numerical linear algebra	Numerische lineare Algebra
Numerične metode 1	Numerical methods 1	Numerische Verfahren 1
Numerične metode 2	Numerical methods 2	Numerische Verfahren 2
Operacijske raziskave	Operational research	Operations Research
Optimizacija	Optimization	Optimierung
Optimizacija 1	Optimization 1	Optimierung 1
Optimizacijske metode	Optimization methods	Optimierungsverfahren
Organizacija in struktura trga	Industrial organization	Industrieökonomik
Parcialne diferencialne enačbe	Partial differential equations	Partielle Differentialgleichungen
Pedagogika z andragogiko	Pedagogy with andragogy	Pädagogik und Andragogik
Podatkovna analiza in pravno varstvo podatkov	Data analysis and legal protection of data	Datenanalyse und rechtlicher Datenschutz
Podatkovne baze 1	Data bases 1	Datenbanken 1
Podatkovne baze 2	Data bases 2	Datenbanken 2
Podatkovne strukture in algoritmi 1	Data structures and algorithms 1	Datenstrukturen und Algorithmen 1
Podatkovne strukture in algoritmi 2	Data structures and algorithms 2	Datenstrukturen und Algorithmen 2
Programiranje 1	Programming 1	Programmierung 1
Programiranje 2	Programming 2	Programmierung 2
Proseminar	Introductory seminar	Proseminar
Proseminar A	Introductory seminar A	Proseminar A
Računalniški praktikum	Computer practical	Computerpraktikum
Računalniško podprto geometrijsko oblikovanje	Computer aided geometric design	Computergestützter geometrischer Entwurf
Računalništvo 2	Computer science 2	Informatik 2
Računska geometrija	Computational geometry	Algorithmische Geometrie
Simbolno računanje	Symbolic computation	Symbolisches Rechnen
Slučajni procesi 1	Stochastic processes 1	Stochastische Prozesse 1
Slučajni procesi 2	Stochastic processes 2	Stochastische Prozesse 2
Splošna topologija	Point-set topology	Mengentheoretische Topologie
Statistika	Statistics	Statistik
Statistika 1	Statistics 1	Statistik 1
Statistika 2	Statistics 2	Statistik 2
Temelji finančnega in poslovodnega računovodstva	Foundations of financial and management accounting	Grundlagen der Finanz- und Managementbuchhaltung
Teorija grafov	Graph theory	Graphentheorie
Teorija iger	Game theory	Spieltheorie
Teorija izračunljivosti	Computability theory	Berechenbarkeitstheorie
Teorija kodiranja in kriptografija	Coding theory and cryptography	Codierungstheorie und Kryptographie
Teorija števil	Number theory	Zahlentheorie
Uvod v diferencialno geometrijo	Introduction to differential geometry	Einführung in die Differentialgeometrie
Uvod v fiziko	Introduction to physics	Einführung in die Physik
Uvod v funkcionalno analizo	Introduction to functional analysis	Einführung in die Funktionalanalysis
Uvod v geometrijsko topologijo	Introduction to geometric topology	Einführung in die geometrische Topologie
